ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-09-26T04:35:00,1506414900,150.94,150.94,150.94,150.94,150.94,100,150.94,142.92,200
AAPL,2017-09-26T04:20:00,1506414000,150.88,150.88,150.88,150.88,150.88,200,150.88,142.91500000000002,1350
AAPL,2017-09-26T04:15:00,1506413700,150.675,150.65,150.7,150.65,150.7,1801,150.67499,142.93,100
AAPL,2017-09-26T04:00:00,1506412800,150.62,150.59,150.65,150.59,150.65,510,150.63518,142.38,1600
AAPL,2017-09-25T19:55:00,1506383700,150.605,150.57,150.64,150.57,150.57,3706,150.57678,142.89,2800
AAPL,2017-09-25T19:35:00,1506382500,150.69,150.69,150.69,150.69,150.69,100,150.69,,
AAPL,2017-09-25T19:30:00,1506382200,150.57,150.57,150.57,150.57,150.57,680,150.57,142.845,2500
AAPL,2017-09-25T19:25:00,1506381900,150.6,150.6,150.6,150.6,150.6,100,150.6,142.84,1300
AAPL,2017-09-25T19:20:00,1506381600,150.58,150.61,150.61,150.55,150.57,1500,150.57548,142.86,6611
AAPL,2017-09-25T19:15:00,1506381300,150.65,150.61,150.69,150.61,150.61,918,150.64965,142.88,13960
AAPL,2017-09-25T19:00:00,1506380400,150.625,150.65,150.7,150.55,150.7,2930,150.60157,142.935,1300
AAPL,2017-09-25T18:55:00,1506380100,150.655,150.61,150.7,150.61,150.7,885,150.63305,142.91,200
AAPL,2017-09-25T18:50:00,1506379800,150.63,150.61,150.65,150.61,150.61,925,150.61432,142.9,1085
AAPL,2017-09-25T18:40:00,1506379200,150.64,150.67,150.67,150.61,150.61,503,150.63807,142.92000000000002,446
AAPL,2017-09-25T18:35:00,1506378900,150.685,150.67,150.7,150.67,150.7,300,150.69,142.935,900
AAPL,2017-09-25T18:30:00,1506378600,150.685,150.7,150.7,150.67,150.67,1240,150.68065,142.94,2282
AAPL,2017-09-25T18:25:00,1506378300,150.685,150.67,150.7,150.67,150.7,400,150.685,142.945,2499
AAPL,2017-09-25T18:05:00,1506377100,150.7,150.7,150.7,150.7,150.7,190,150.7,142.96499999999997,390
AAPL,2017-09-25T18:00:00,1506376800,150.655,150.61,150.7,150.61,150.7,400,150.6775,142.98000000000002,2949
AAPL,2017-09-25T17:30:00,1506375000,150.68,150.61,150.75,150.61,150.75,1468,150.65477,,
AAPL,2017-09-25T17:25:00,1506374700,150.7,150.7,150.7,150.7,150.7,750,150.7,,
AAPL,2017-09-25T17:20:00,1506374400,150.71,150.62,150.8,150.62,150.62,6195,150.76663,,
AAPL,2017-09-25T17:15:00,1506374100,150.60000000000002,150.65,150.65,150.55,150.55,44386,150.55356,142.94,404
AAPL,2017-09-25T17:10:00,1506373800,150.70499999999998,150.7,150.71,150.7,150.7,2415,150.70126,142.98000000000002,6950
AAPL,2017-09-25T17:05:00,1506373500,150.70499999999998,150.76,150.76,150.65,150.7,2918,150.74049,142.97500000000002,929
AAPL,2017-09-25T17:00:00,1506373200,150.755,150.74,150.77,150.74,150.74,2896,150.74414,142.7425,10926
AAPL,2017-09-25T16:55:00,1506372900,150.72500000000002,150.71,150.74,150.71,150.74,1369,150.71618,142.985,20221
AAPL,2017-09-25T16:50:00,1506372600,150.725,150.75,150.75,150.7,150.7,4211,150.71164,142.97500000000002,4300
AAPL,2017-09-25T16:45:00,1506372300,150.785,150.79,150.79,150.78,150.78,200,150.785,142.95,29345
AAPL,2017-09-25T16:40:00,1506372000,150.75,150.69,150.81,150.69,150.8,5814,150.77774,142.95999999999998,3798
AAPL,2017-09-25T16:35:00,1506371700,150.625,150.65,150.65,150.6,150.63,2954,150.63409,142.945,11472
AAPL,2017-09-25T16:30:00,1506371400,150.625,150.6,150.65,150.6,150.65,2500,150.6404,142.93,35337
AAPL,2017-09-25T16:25:00,1506371100,150.61,150.6,150.64,150.58,150.64,1630,150.59325,142.91,12641
AAPL,2017-09-25T16:20:00,1506370800,150.60500000000002,150.61,150.61,150.6,150.6,800,150.60375,142.89,45521
AAPL,2017-09-25T16:15:00,1506370500,150.595,150.55,150.64,150.55,150.64,4948,150.60476,142.935,33976
AAPL,2017-09-25T16:10:00,1506370200,150.57,150.55,150.59,150.55,150.59,4371,150.57379,142.87175,1765035
AAPL,2017-09-25T16:05:00,1506369900,150.575,150.63,150.63,150.52,150.55,25596,150.55094,142.8518,439596
AAPL,2017-09-25T16:00:00,1506369600,150.63,150.55,150.75,150.51,150.65,2527501,150.55024,142.87,586715
AAPL,2017-09-25T15:55:00,1506369300,150.41,150.23,150.59,150.23,150.56,1000374,150.44086,142.7475,1808968
AAPL,2017-09-25T15:50:00,1506369000,150.31,150.4,150.4,150.22,150.24,456912,150.28445,142.70999999999998,453009
AAPL,2017-09-25T15:45:00,1506368700,150.32999999999998,150.27,150.44,150.22,150.41,464603,150.32424,142.6775,476708
AAPL,2017-09-25T15:40:00,1506368400,150.2475,150.29,150.35,150.145,150.2799,565667,150.25611,142.555,230250
AAPL,2017-09-25T15:35:00,1506368100,150.315,150.33,150.39,150.24,150.29,383288,150.30478,142.60250000000002,445145
AAPL,2017-09-25T15:30:00,1506367800,150.33499999999998,150.315,150.41,150.26,150.34,426803,150.34683,142.6155,392538
AAPL,2017-09-25T15:25:00,1506367500,150.33499999999998,150.33,150.45,150.22,150.32,439151,150.33842,142.575,297504
AAPL,2017-09-25T15:20:00,1506367200,150.19,150.1161,150.34,150.04,150.34,396591,150.14413,142.4325,281091
AAPL,2017-09-25T15:15:00,1506366900,150.115,150.13,150.23,150.0,150.115,370983,150.13205,142.41500000000002,748235
AAPL,2017-09-25T15:10:00,1506366600,150.17000000000002,150.23,150.25,150.09,150.135,299927,150.14773,142.41,1171456
AAPL,2017-09-25T15:05:00,1506366300,150.16,150.1058,150.26,150.06,150.235,322482,150.19106,142.38,1455648
AAPL,2017-09-25T15:00:00,1506366000,150.16500000000002,150.27,150.28,150.05,150.11,243934,150.17172,142.36124999999998,1215055
AAPL,2017-09-25T14:55:00,1506365700,150.24,150.16,150.32,150.16,150.26,236869,150.24965,142.41000000000003,594703
AAPL,2017-09-25T14:50:00,1506365400,150.125,150.139,150.2,150.05,150.16,225238,150.12719,142.2775,195977
AAPL,2017-09-25T14:45:00,1506365100,150.13,150.14,150.23,150.03,150.14,225591,150.13384,142.2525,283982
